iter	Passed	Remaining
476	662	725
477	663	724
478	664	722
479	665	721
480	666	719
481	668	718
482	669	717
483	670	715
484	671	713
485	673	712
486	674	710
487	675	709
488	677	707
489	678	706
490	680	704
491	680	703
492	681	701
493	682	699
494	683	697
495	684	696
496	685	694
497	686	692
498	687	690
499	688	688
500	689	686
501	690	685
502	691	683
503	693	682
504	694	681
505	695	679
506	697	678
507	699	677
508	700	675
509	701	673
510	703	673
511	704	671
512	705	669
513	706	668
514	707	666
515	709	665
516	710	663
517	711	662
518	712	660
519	713	658
520	714	656
521	715	655
522	716	653
523	717	652
524	718	650
525	719	648
526	721	647
527	722	646
528	723	644
529	724	642
530	725	640
531	726	639
532	727	637
533	728	635
534	729	634
535	730	632
536	731	630
537	732	628
538	733	627
539	733	625
540	734	623
541	735	621
542	737	620
543	738	619
544	740	618
545	741	616
546	742	614
547	743	613
548	744	611
549	745	610
550	746	608
551	747	606
552	748	604
553	748	602
554	752	603
555	753	601
556	754	599
557	755	598
558	755	596
559	757	594
560	758	593
561	759	592
562	760	590
563	761	588
564	762	587
565	763	585
566	765	584
567	765	582
568	766	580
569	767	578
570	768	577
571	770	576
572	770	574
573	771	572
574	772	571
575	773	569
576	774	568
577	776	566
578	777	565
579	778	563
580	779	562
581	780	560
582	781	558
583	782	557
584	784	556
585	785	554
586	785	552
587	787	551
588	788	550
589	790	549
590	791	547
591	791	545
592	792	544
593	793	542
594	794	540
595	795	539
596	796	537
597	797	536
598	798	534
599	799	532
600	800	531
601	801	529
602	801	527
603	802	526
604	803	524
605	804	522
606	805	521
607	806	519
608	807	518
609	808	516
610	809	515
611	810	513
612	811	512
613	812	510
614	814	509
615	815	508
616	816	506
617	817	505
618	817	503
619	819	502
620	820	500
621	821	499
622	822	497
623	823	496
624	824	494
625	825	493
626	827	492
627	828	490
628	829	489
629	830	487
630	832	486
631	833	485
632	834	483
633	835	482
634	836	480
635	838	479
636	839	478
637	839	476
638	840	475
639	842	473
640	843	472
641	844	470
642	845	469
643	846	467
644	846	466
645	848	465
646	849	463
647	852	462
648	853	461
649	854	460
650	855	458
651	857	457
652	857	455
653	858	454
654	861	453
655	862	452
656	863	450
657	864	449
658	865	448
659	867	446
660	868	445
661	869	444
662	870	442
663	871	441
664	873	440
665	875	439
666	876	437
667	877	435
668	879	434
669	880	433
670	881	432
671	882	430
672	883	429
673	885	428
674	886	426
675	888	425
676	889	424
677	890	422
678	891	421
679	894	420
680	895	419
681	896	417
682	897	416
683	898	414
684	900	413
685	901	412
686	901	410
687	902	409
688	903	407
689	904	406
690	905	404
691	906	403
692	907	402
693	908	400
694	909	399
695	910	397
696	911	396
697	912	394
698	913	393
699	914	391
700	915	390
701	916	389
702	917	387
703	918	386
704	919	384
705	920	383
706	920	381
707	921	380
708	922	378
709	923	377
710	924	375
711	925	374
712	926	372
713	927	371
714	928	369
715	928	368
716	929	366
717	930	365
718	931	364
719	932	362
720	933	361
721	934	359
722	934	358
723	936	356
724	936	355
725	937	353
726	938	352
727	939	350
728	940	349
729	941	348
730	942	346
731	942	345
732	943	343
733	944	342
734	946	341
735	947	339
736	947	338
737	948	336
738	949	335
739	950	333
740	951	332
741	953	331
742	953	329
743	954	328
744	955	327
745	956	325
746	957	324
747	958	322
748	959	321
749	960	320
750	962	318
751	962	317
752	963	316
753	965	314
754	966	313
755	967	312
756	968	310
757	968	309
758	969	307
759	970	306
760	971	305
761	972	303
762	973	302
763	974	300
764	974	299
765	975	298
766	976	296
767	977	295
768	978	293
769	979	292
770	980	291
771	981	289
772	981	288
773	982	286
774	983	285
775	984	284
776	985	282
777	986	281
778	987	280
779	988	278
780	988	277
781	989	275
782	990	274
783	991	273
784	992	271
785	993	270
786	994	269
787	995	267
788	995	266
789	996	264
790	997	263
791	999	262
792	1000	261
793	1000	259
794	1002	258
795	1003	257
796	1004	255
797	1005	254
798	1006	253
799	1007	251
800	1008	250
801	1009	249
802	1010	247
803	1011	246
804	1012	245
805	1013	244
806	1014	242
807	1015	241
808	1016	239
809	1017	238
810	1018	237
811	1019	236
812	1020	234
813	1022	233
814	1022	232
815	1023	230
816	1024	229
817	1025	228
818	1026	226
819	1027	225
820	1028	224
821	1029	222
822	1029	221
823	1030	220
824	1031	218
825	1032	217
826	1033	216
827	1034	214
828	1035	213
829	1036	212
830	1036	210
831	1037	209
832	1038	208
833	1039	206
834	1039	205
835	1040	204
836	1041	202
837	1042	201
838	1042	200
839	1043	198
840	1044	197
841	1045	196
842	1047	195
843	1047	193
844	1048	192
845	1049	191
846	1050	189
847	1051	188
848	1052	187
849	1052	185
850	1053	184
851	1054	183
852	1055	181
853	1055	180
854	1056	179
855	1057	177
856	1058	176
857	1059	175
858	1059	173
859	1060	172
860	1061	171
861	1062	170
862	1063	168
863	1064	167
864	1065	166
865	1065	164
866	1066	163
867	1067	162
868	1067	160
869	1068	159
870	1069	158
871	1070	157
872	1070	155
873	1071	154
874	1072	153
875	1073	151
876	1073	150
877	1074	149
878	1075	148
879	1076	146
880	1077	145
881	1078	144
882	1079	142
883	1079	141
884	1080	140
885	1081	139
886	1082	137
887	1082	136
888	1083	135
889	1084	134
890	1085	132
891	1086	131
892	1086	130
893	1087	128
894	1088	127
895	1089	126
896	1089	125
897	1090	123
898	1091	122
899	1092	121
900	1092	120
901	1093	118
902	1094	117
